,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Scale
Lonely_Q9,0.18115563963322934,0.06072077887451109,-0.05341459997634992,-0.2797776028347036,-0.348217794272719,-0.11160836776309332,-0.10691328386733369,-0.06629117912042264,-0.09965304417689558,0.04368689950976942,Lonely
Lonely_Q10,0.01603618744895827,0.3215249067166313,-0.22030682753763123,0.03125063826225209,-0.13068549836014248,0.003667615684338691,-0.10587632929647364,-0.052303800868998766,0.07435687310279752,-0.10954214776160913,Lonely
Lonely_Q11,0.16131577680112408,0.5472387584226334,-0.07436717891156652,-0.032323585345715354,-0.03972113346866013,-0.0591856158566485,0.07911580520256303,0.010657389705022103,0.16916527978434076,-0.021695740757199378,Lonely
Lonely_Q12,-0.03244514958594986,0.625547240324024,-0.04078642125284917,-0.2340022528736206,-0.007890778188130956,0.046045050114108484,0.09633234010357865,0.054852773585193706,0.13805497493293775,-0.17349503583667256,Lonely
Lonely_Q13,0.04936009541625433,0.6097316848083274,-0.1594029051513778,-0.1003715830220831,-0.006404861437561018,0.01885148417447968,-0.03330783047778423,0.09832352035898895,0.0931683001239137,0.06619273317377733,Lonely
Lonely_Q14,0.13167276733942468,0.4718098894479054,-0.09089490720964406,0.0009335296012809934,-0.12722911683113616,0.15790776688791866,-0.019122788948349855,-0.01132178834028092,0.04703266405084751,-0.19204099515295617,Lonely
Lonely_Q15,-0.06112941488093113,0.39597718472539567,-0.10459124930397125,0.14852296824960992,-0.12867195084919797,-0.17498107855159376,-0.174349386671883,0.01309042930001045,-0.02610650113715345,-0.07331208058005904,Lonely
Lonely_Q16,-0.09585435789666152,0.5319479432463592,-0.03945614178276959,0.016948320132759834,-0.0030559071467862794,-0.16492789060105845,-0.04443886936937513,-0.06283879275001358,0.0027353476982257255,-0.07421677633583343,Lonely
Lonely_Q17,0.2643766229094589,0.03184250182162254,-0.05265708270651986,-0.019384840140060623,-0.4140801752025348,-0.1299123727585211,0.0852010057198245,-0.022653167613980382,0.2046373203093877,-0.012045247958309462,Lonely
Lonely_Q18,-0.09039747754282325,0.6648195708049014,0.05257349924377197,0.07270091774246476,0.12347928604601764,-0.0032339281841336867,-0.022418313731590693,0.05246658111142874,-0.07977201592313449,0.002440236624104954,Lonely
Lonely_Q19,-0.20148667441006102,0.4592597909166493,-0.1172553569530573,0.16385054765971732,-0.12469631589290969,-0.12688669638831457,-0.2519870495470612,0.031252897214485764,-0.03897811814309977,-0.035175914797414894,Lonely
Lonely_Q20,-0.16179588669046863,0.46500201546369,-0.19529576545814875,0.10179102788247826,-0.07610392944946259,-0.1128104811283501,-0.2034910391886661,0.0020560587981785393,-0.02604418523037079,-0.10874762794766515,Lonely
