items_per_subscale,alpha_target,seed,recovered_slope,recovered_mantel_r,recovered_pearson,recovered_slope_vs_human,recovered_mantel_r_vs_human,n_pairs
7,0.6,6,1.342143438739867,0.9931212963521165,0.9931212963521165,1.378440981337912,0.9787601793431745,120
7,0.6,7,1.3937330575693339,0.9920627871096308,0.9920627871096308,1.498069754921309,0.9735362078653886,120
7,0.6,8,1.4150567626810078,0.9905765770901593,0.9905765770901593,1.4625400844213496,0.9732329838577471,120
7,0.6,9,1.3121934259506953,0.9941336314306441,0.9941336314306441,1.2429259014385283,0.9732414878833766,120
7,0.6,10,1.4108434896297148,0.9923242165622538,0.9923242165622538,1.5642299922343508,0.9576970363834942,120
7,0.6,11,1.3697248757298952,0.9940932250588707,0.9940932250588707,1.3632672881773322,0.9601200141585495,120
7,0.6,12,1.3360084088813768,0.9941210076325545,0.9941210076325545,1.256296848708448,0.9726987806503723,120
7,0.6,13,1.3860524064427477,0.9921973903745399,0.9921973903745399,1.3971932310397697,0.9741961383981471,120
7,0.6,14,1.3747437087348109,0.9916179560585353,0.9916179560585353,1.3138880864199705,0.971650747481528,120
7,0.6,15,1.415866216627786,0.9901594661824925,0.9901594661824925,1.4680874780122632,0.9644909082123214,120
7,0.6,16,1.3774767263428158,0.9915591769560822,0.9915591769560822,1.4112862068031218,0.9816262134184089,120
7,0.6,17,1.3898928929667775,0.9921375938283603,0.9921375938283603,1.4044361804461065,0.9713219365047824,120
7,0.6,18,1.3943670280913976,0.9908875350745626,0.9908875350745626,1.2744681856523459,0.9649036524537589,120
7,0.6,19,1.4200315953031442,0.9928028050878652,0.9928028050878652,1.4054801656994418,0.9705837169332977,120
7,0.75,0,1.175920749898427,0.9974866310676324,0.9974866310676324,1.1127231971199751,0.9750060265703389,120
7,0.75,1,1.2115239910364,0.9974068310529953,0.9974068310529953,1.2384715700571862,0.9800453582119253,120
7,0.75,2,1.1983194636861207,0.9969550324348967,0.9969550324348967,1.2397443851249625,0.9850696630574012,120
7,0.75,3,1.1791363103800574,0.9969210287544085,0.9969210287544085,1.2032981430930736,0.9794681727552689,120
7,0.75,4,1.196815305305233,0.9967977086965609,0.9967977086965609,1.1975017290498997,0.96902062484392,120
7,0.75,5,1.1995075860880857,0.9982299944896419,0.9982299944896419,1.2417912763712122,0.9849689677709726,120
7,0.75,6,1.1763747009578114,0.997517678189594,0.997517678189594,1.2069925880032506,0.982119381021162,120
7,0.75,7,1.1945308702342812,0.9977690397224593,0.9977690397224593,1.2854071654256018,0.9802432874596023,120
7,0.75,8,1.2087826654935288,0.9969718308246377,0.9969718308246377,1.24939990170685,0.9795598582856541,120
7,0.75,9,1.1718906096978527,0.9977101271121476,0.9977101271121476,1.1094478657341371,0.976231174880057,120
7,0.75,10,1.1885944662507064,0.9982417087783502,0.9982417087783502,1.3273163930560876,0.9703518745788415,120
7,0.75,11,1.184894281002607,0.9983368521455226,0.9983368521455226,1.1820286066893235,0.9664429553108388,120
7,0.75,12,1.1895337338246006,0.9979166799569952,0.9979166799569952,1.1125349275007865,0.9711520132973303,120
7,0.75,13,1.1830684690032902,0.9976748036765536,0.9976748036765536,1.1901582991598523,0.977586859808848,120
7,0.75,14,1.1882874506955239,0.9969802107029414,0.9969802107029414,1.1292378259069746,0.9713586624955934,120
7,0.75,15,1.20584753365609,0.9967565337758195,0.9967565337758195,1.2507850400302987,0.9712759814335349,120
7,0.75,16,1.1936727588998604,0.9975483590940272,0.9975483590940272,1.219318540562828,0.9846061296575456,120
7,0.75,17,1.197497380275519,0.9967497673134549,0.9967497673134549,1.2089246098970852,0.9749478942170827,120
7,0.75,18,1.1950248527674683,0.9970472119825818,0.9970472119825818,1.0886219737092862,0.9676617476582625,120
7,0.75,19,1.2114254722129938,0.9974079806690901,0.9974079806690901,1.1989864520454614,0.9750653088410101,120
7,0.85,0,1.1600808620694854,0.99863306843351,0.99863306843351,1.0979049150963072,0.976278080085317,120
7,0.85,1,1.1855576590195536,0.9986102728248071,0.9986102728248071,1.2110179953382503,0.9804913359183683,120
